# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\tiles.png	255	128	192
40	textures\tiles4.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\enemy3.png	255	255	255
70	textures\map.png	156	252	240

# id	left	top	right	bottom	texture_id
[SPRITES]
13008	215	474	231	501	0
13009	246	474	260	501	0
13010	276	474	291	501	0
13011	305	475	321	501	0
13012	336	474	350	501	0
13013	366	474	380	501	0
13014	396	474	410	501	0
13015	426	470	440	497	0
14001 	1	514	24	543	0
14002 	34	514	52	542	0
14003	65	516	80	540	0
14004	91	511	113	541	0
14005 	122	513	144	541	0	
14006	155	514	173	543	0
14007	185	513	202	542	0
14008	214	514	232	542	0
14009	245	513	262	542	0	
14010	275	513	292	542	0	
14011	303	514	325	542	0
14012	334	514	352	541	0
14013	366	516	381	538	0
14014	395 	514	412	542	0
14015	422	514	444	541	0
15001	2	555	22	581	0
15002	33	554	52	581	0
15003	65	554	81	581	0
15004	96	554	110	581	0
15005	125	555	141	581	0
15006	155	554	170	581	0
15007	180	553	206	582	0
15008	214	557	232	578	0
15009	240	553	266	582	0
15010	276	554	291	581	0
15011	305	555	321	581	0
15012	336	554	350	581	0
15013	365	554	381	581	0
15014	394	554	413	581	0
15015	424	555	443	581	0
16001	3	598	22	618	0
16002	32	598	53	618	0
16003	63	598	83	617	0
16004	93	597	113	618	0
16005	125	600	141	623	0
16006	155	598	171	622	0	
16007	185	594	201	621	0
16008	
16009	245	594	261	621	0
16010	275	598	291	622	0
16011	305	600	321	623	0	
16012	333	597	353	618	0
16013	363	598	383	617	0
16014	393	598	414	618	0
16015	424	598	443	618	0
17001	5 	633	21	663	0
17002	32	634	53	661	0
17003	61	634	84	662	0
17004	91	634	115	662	0
17005	122	634	143	661	0
17006	152	634	174	662	0
17007	182	634	203	662	0
17008	215	633	231	662	0
17009	243	634	264	662	0
17010	272	634	294	662	0
17011	303	634	324	661	0
17012	331	634	355	662	0
17013	362	634	385	662	0
17014	393	634	414	661	0
17015	425	633	441	663	0
18001	5	674	21	691	0
18002	32	669	53	697	0
18003	61	674	85	702	0
18004	91	674	115	701	0
18005	121	674	144	702	0
18006	151	674	174	702	0
18007	181	674	205	702	0
18008	215	674	231	702	0
18009	241	674	265	702	0
18010	272	674	295	702	0	
18011	302	674	325	702	0
18012	331	674	355	701	0
18013	361	674	385	702	0
18014	393	669	414	697	0
18015	425	674	441	701	0
19001	2	719	24	737	0
19002	32	719	54	737	0
19003	61	714	85	742	0
19004	91	714	115	741	0
19005	122	714	143	741	0
19006	152	714	174	742	0
19007	182	714	203	742	0
19008	215	713	231	742	0
19009	243	714	264	742	0
19010	272	714	294	742	0
19011	303	714	324	741	0
19012	331	714	355	741	0
19013	361	714	385	742	0
19014	392	719	414	737	0
19015	422 	719	444	737	0
20001	2 	754	24	782	0
20002	31	754	54	781	0	
20003	61	754	85	781	0
20004	95	754	112	782	0
20005	122	753	143	782	0
20006	155	754	171	782	0
20007	185	753	201	782	0
20008	215	754	231	782	0
20009	245	753	261	782	0
20010	275	754	291	782	0
20011	303	753	324	782	0
20012	335	754	351	782	0
20013	361	754	385	781	0
20014	392	754	415	781	0
20015	422	754	444	782	0
21001	0	794	25	821	0
21002	33	794	52	822	0
21003	61	794	84	822	0
21004	92	794	113	822	0
21005	122	794	143	821	0
21006	152	794	174	822	0
21007	182	794	204	822	0
21008	214	797	232	818	0
21009	242	794	264	822	0
21010	272	794	294	822	0
21011	303	794	324	821	0
21012	333	794	354	822	0
21013	362	794	385	822	0
21014	394	794	413	822	0
21015	421	794	446	821	0
22001	2	838	23	858	0
22002	32	838	55	858	0
22003	63	837	83	858	0
22004	93	837	113	859	0
22005	125	840	141	863	0
22006	155	838	171	862	0
22007	182	834	203	862	0
22008	
22009	243	834	265	862	0
22010	275	838	291	862	0
22011	305	840	321	863	0
22012	333	837	353	859	0
22013	363	837	383	859	0
22014	392	838	414	858	0
22015	423	838	444	858	0
23001
23002
23003
23004	92	874	114	902	0
23005	122	874	144	902	0
23006	152	874	174	902	0
23007	182	874	204	902	0
23008	
23009	242	874	264	902	0
23010	272	874	294	902	0
23011	302	874	324	902	0
23012	332	874	354	902	0
23013
23014
23015
24001	1 	916	25	939	0
24002	32	916	54	939	0
24003	62	916	84	939	0
24004	93	916	113	939	0
24005	123	913	142	942	0
24006	153	913	173	942	0
24007	183	916	203	940	0
24008	215	916	231	939	0
24009	243	916	263	940	0
24010	273	913	293	942	0
24011	304	913	323	942	0
24012	333	916	353	939	0
24013	362	916	382	939	0
24014	392	916	414	939	0
24015	421	916	445	939	0
25001	1	957	25	979	0
25002	31	957	55	979	0
25003	61	956	85	979	0
25004	
25005	123	956	143	979	0
25006	152	957	174	978	0
25007	185	954	201	981	0
25008	215	952	231	983	0
25009	245	954	261	981	0
25010	272	957	294	978	0
25011	303	956	323	979	0
25012	
25013	361	956	385	979	0
25014	391	957	415	979	0
25015	421	957	445	979	0
26001	5 	994	21	1010	0
26002	35	992	51	1017	0
26003	62	992	83	1023	0
26004	95	992	111	1023	0
26005	124	993	141	1023	0
26006	155	992	171	1023	0
26007	185	992	200	1023	0
26008	215	992	231	1023	0
26009	246	992	261	1023	0
26010	275	992	291	1023	0
26011	305	993	322	1023	0
26012	335	992	351	1023	0
26013	363	992	384	1023	0
26014	395	992	411	1017	0
26015	425	994	441	1018	0
27001	3	1026	23	1046	0
27002	33	1024	53	1048	0
27003	31	1056	55	1076	0
27004	3	1056	23	1076	0
27005	65	1034	81	1061	0
27006	95	1035	16	25	0
27007	125	1035	141	1061	0
27008	155	1035	171	1060	0
27009	185	1036	201	1060	0
27010	215	1035	231	1060	0
27011	245	1036	261	1060	0
27012	275	1035	291	1060	0
27013	305	1035	321	1061	0
27014	335	1035	351	1060	0
27015	365	1034	381	1061	0
27016	393	1024	413	1048	0
27017	423	1026	443	1046	0
27018	391	1056	415	1076	0
27019	423	1056	443	1076	0
29001	5	1084	21	1112	0
29002	34	1084	51	1111	0
29003	64	1084	81	1112	0
29004	93	1084	112	1112	0
29005	125	1084	141	1111	0
29006	155	1084	171	1112	0
29007	185	1084	201	1112	0
29008	215	1084	231	1112	0
29009	245	1084	261	1112	0
29010	275	1084	291	1112	0
29011	305	1084	321	1111	0
29012	334	1084	353	1112	0
29013	365	1084	381	1112	0
29014	395	1084	412	1111	0
29015	425	1084	441	1112	0
30001	5	1124	21	1151	0
30002	33	1124	52	1151	0
30003	63	1124	82	1152	0
30004	93	1124	112	1152	0
30005	123	1124	142	1152	0
30006	154	1124	171	1152	0
30007	184	1124	202	1152	0
30008	215	1124	231	1152	0
30009	244	1124	262	1152	0
30010	275	1124	292	1152	0
30011	304	1124	323	1152	0
30012	334	1124	353	1152	0
30013	364	1124	383	1152	0
30014	394	1124	413	1151	0
30015	425	1124	441	1151	0
31001	5	1170	21	1186	0
31002	35	1164	51	1192	0
31003	65	1164	81	1192	0
31004	95	1164	111	1192	0
31005	125	1164	141	1191	0
31006	155	1164	171	1192	0
31007	185	1164	201	1192	0
31008	215	1164	231	1192	0
31009	245	1164	261	1192	0
31010	275	1164	291	1192	0
31011	305	1164	321	1192	0
31012	335	1164	351	1192	0
31013	365	1164	381	1192	0
31014	395	1164	411	1192	0
31015	425	1170	441	1186	0
32001	2	1204	24	1232	0
32002	35	1204	51	1231	0
32003	95	1205	111	1231	0
32004	122	1204	143	1232	0
32005	155	1204	171	1232	0
32006	185	1204	201	1232	0
32007	215	1204	231	1232	0
32008	245	1204	261	1232	0
32009	275	1204	291	1232	0
32010	303	1204	324	1232	0
32011	335	1205	351	1231	0
32012	395	1204	411	1231	0
32013	422	1204	444	1232	0
33001	3	1244	22	1271	0
33002	33	1244	52	1272	0
33003	65	1244	81	1272	0
33004	95	1244	111	1272	0
33005	124	1244	141	1271	0
33006	154	1244	171	1272	0
33007	214	1247	232	1268	0
33008	275	1244	292	1272	0
33009	305	1244	322	1271	0
33010	335	1244	351	1272	0
33011	365	1244	381	1272	0
33012	394	1244	413	1272	0
33013	424	1244	443	1271	0
34001	3	1288	22	1307	0
34002	34	1289	52	1307	0
34003	64	1288	82	1308	0
34004	94	1288	112	1307	0
34005	125	1290	141	1313	0
34006	155	1288	171	1312	0
34007	185	1284	201	1312	0
34008	245	1284	261	1312	0
34009	275	1288	291	1312	0
34010	305	1290	321	1313	0
34011	334	1288	352	1307	0
34012	364	1288	382	1308	0
34013	394	1289	412	1307	0
34014	424	1288	443	1307	0
35001	5	1323	21	1352	0
35002	32	1324	53	1351	0
35003	60	1324	85	1352	0
35004	91	1324	114	1352	0
35005	122	1324	143	1351	0
35006	152	1323	177	1352	0
35007	182	1323	204	1352	0
35008	215	1323	231	1352	0
35009	242	1323	264	1352	0
35010	272	1323	294	1352	0
35011	303	1324	324	1351	0
35012	332	1324	355	1352	0
35013	361	1324	386	1352	0
35014	393	1324	414	1351	0
35015	425	1323	441	1352	0
36001	5	1364	21	1391	0
36002	32	1369	54	1387	0
36003	61	1364	85	1392	0
36004	91	1364	115	1391	0
36005	121	1364	145	1391	0
36006	151	1364	175	1391	0
36007	181	1364	205	1391	0
36008	215	1363	231	1392	0
36009	241	1364	265	1391	0
36010	271	1364	295	1391	0
36011	302	1364	325	1391	0
36012	331	1364	355	1391	0
36013	361	1364	385	1392	0
36014	392	1369	414	1387	0
36015	425	1364	441	1391	0
37001	3	1407	23	1428	0
37002	32	1408	53	1427	0
37003	61	1404	85	1432	0
37004	91	1404	115	1431	0
37005	122	1404	143	1431	0
37006	152	1403	174	1432	0
37007	182	1403	203	1432	0
37008	215	1403	231	1432	0
37009	243	1403	264	1432	0
37010	272	1403	294	1432	0
37011	303	1404	324	1431	0
37012	331	1404	355	1431	0
37013	361	1404	385	1432	0
37014	393	1408	413	1427	0
37015	423	1407	443	1428	0
38001	2	1444	23	1472	0
38002	30	1444	55	1471	0
38003	61	1444	85	1471	0
38004	95	1444	101	1472	0
38005	122	1443	143	1472	0
38006	155	1443	171	1472	0
38007	185	1443	201	1472	0
38008	215	1443	231	1472	0
38009	245	1443	261	1472	0
38010	275	1443	291	1472	0
38011	303	1443	324	1472	0
38012	335	1444	351	1472	0
38013	361	1444	385	1471	0
38014	391	1444	416	1471	0
38015	423	1444	444	1472	0
39001	0	1484	25	1511	0
39002	33	1484	52	1512	0
39003	61	1483	84	1512	0
39004	92	1483	114	1512	0
39005	122	1484	144	1511	0
39006	152	1484	174	1511	0
39007	181	1483	204	1512	0
39008	213	1487	233	1508	0
39009	242	1483	265	1512	0
39010	272	1484	294	1511	0
39011	302	1484	324	1511	0
39012	332	1483	355	1512	0
39013	362	1483	385	1512	0
39014	394	1484	413	1512	0
39015	412	1484	446	1511	0
40001	2	1528	23	1548	0
40002	26	1528	49	1548	0
40003	53	1527	73	1548	0
40004	78	1526	98	1549	0
40005	110	1531	126	1553	0
40006	140	1529	156	1552	0
40007	167	1524	189	1552	0
40008	200	1523	216	1552	0
40009 	230	1523	246	1552	0
40010	257	1524	279	1552	0
40011	390	1529	306	1552	0
40012	320	1531	336	1553	0
40013	348	1526	368	1549	0
40014	373	1527	393	1548	0
40015	397	1528	420	1548	0
40016	423	1528	444	1548	0
41001	35	1558	51	1598	0
41002	61	1563	85	1595	0
41003	90	1564	115	1594	0
41004	119	1566	136	1592	0
41005	150	1564	176	1592	0
41006	179	1565	197	1593	0
41007	239	1565	267	1593	0
41008	270	1564	296	1592	0
41009	300	1566	327	1592	0
41010	331	1564	356	1594	0
41011	361	1563	385	1595	0
41012	395	1558	406	1598	0
400001	300	117	316	133	20
400002	318	117	334	133	20
400003	336	117	352	133	20
400004	355	117	370	133	20


#SECTION 1

#==== GACH BU LẺ ====
50010	324	171	340	187	30

#==== MÂY LOẠI 1, 2 ====
80000	222	171	238	187	30
80001	222	188	238	304	30

#===KOOPAS XANH SHELL
#80002	152	202	168	218	50

#80003	239	202	255	218	50

80004	256	202	272	218	50
80005	273	202	289	218	50
80006	290	202	306	218	50

#===KOOPAS ĐỎ SHELL

80008	256	174	272	190	50
80009	273	174	289	190	50
80010	290	174	306	190	50

#==== GACH BỂ ĐƯỢC ====
80007	272	153	289	170	30

#SECTION 1 END

#SECTION 2

#==== DONG TIEN
70100	171	137	185	153	30

#==== GACH BU TRÊN ====
50004	9	10	23	25	40
50005	25	10	41	25	40
50006	41	10	56	25	40

#==== GACH BU DUOI ====
50007	9	27	23	41	40
50008	25	27	41	41	40
50009	41	27	56	41	40

#==== GACH NHO LOAI 1 ====
50001	222	222	238	238	30
50002	239	222	255	238	30
50003	256	222	272	238	30

#==== HÀNG CÂY 1 ====
70000	140	52	153	68	30
70001	137	52	153	68	30
70002	138	1	153	17	30
70003	154	1	169	17	30
70004	137	18	153	34	30
70005	154	18	170	34	30
70006	137	35	153	51	30
70007	154	35	170	51	30


#==== BUI CAY NHO 
70008	222	205	238	221	30	

#==== MAY 1 CUC
70201	328	257	360	280	70

#==== MAY 2 CUC
70202	120	273	168	296	70

#==== MAY BA CUC
70203	728	305	792	328	70
	
#==== GOOMBA NO WINGS
#==== GOOMBA walk 
#70301	5	14	21	30	10
#70302	25	14	41	30	10
#==== GOOMBA die
#70303	45	21	61	30	10

#==== KOOPAS NO WINGS XANH
#==== KOOPAS walk right
#70401	170	192	186	218	50
#70402	187	191	203	218	50
#==== KOOPAS walk left
#70403	222	192	238	218	50
#70404	205	191	221	218	50
#==== KOOPAS DIE
#70405	152	202	168	218	50

#SECTION 2 END

#SECTION 3-TÂN
#======= Khối trắng
60001	1	1	18	18	30
60002	18	1	34	17	30
60003	35	1	51	17	30
60004	1	18	17	34	30
60005	18	18	34	34	30
60006	35	18	51	34	30
60007	1	35	17	51	30
60008	18	35	34	51	30
60009	35	35	51	51	30
#===== Khối đỏ
60011	1	52	17	68	30
60012	18	52	34	68	30
60013	35	52	51	68	30
60014	1	69	17	85	30
60015	18	69	34	85	30
60016	35	69	51	85	30
60017	1	86	17	102	30
60018	18	86	34	102	30
60019	35	86	51	102	30
#==== Khối xanh DƯƠNG
60021	52	52	68	68	30
60022	69	52	85	68	30
60023	86	52	102	68	30
60024	52	69	68	85	30
60025	69	69	85	85	30
60026	86	69	102	85	30
60027	52	86	68	102	30
60028	69	86	85	102	30
60029	86	86	102	102	30
#===== KHỐI XANH LÁ
60031	52	1	68	17	30
60032	69	1	85	17	30
60033	86	1	102	17	30
60034	52	18	68	34	30
60035	69	18	85	34	30
60036	86	18	102	34	30
60037	52	35	68	51	30
60038	69	35	85	51	30
60039	86	35	102	51	30
#==== VỆT ĐEN
60041	103	77	111	93	30
60042	103	86	111	102	30
60043	103	103	111	111	30
#==== VỆT ĐEN DƯỚI
60044	77	103	85	111	30
60045	86	103	102	111	30
#==== ỐNG CỐNG DỌC
60051	324	52	340	68	30
60052	341	52	357	68	30
60053	325	69	340	85	30
60054	341	69	356	85	30
#===1 VIÊN GẠCH RĂNG CƯA SIÊU BỰ
60055	443	120	459	136	30
60056	460	120	476	136	30
60057	443	137	459	153	30
60058	460	137	476	153	30

#GOOMBA
600590	5	14	21	29	10
60060	25	14	41	29	10

#GOOMBA die
60061	45	21	61	29	10
#KOOPAS XANH_ ĐI BỘ 
#walk left
60062	205	191	221	218	50
60063	222	191	238	218	50
#walk right
60064	187	191	202	218	50
60065	170	191	185	218	50
#die
60066	152	202	168	218	50


###KOOPAS XANH_ BAY_PHẢI SANG TRÁI
60067	205	248	221	276	50
60068	222	250	238	276	50
60069	239	249	255	276	50
60070	256	249	272	276	50
#KOOPA MAI RÙA XANH
#ÚP
60071	239	202	255	218	50
60072	256	202	272	218	50
60073	273	202	289	218	50
60074	290	202	306	218	50
#Ngửa
60075	152	202	168	218	50
#KOOPA ĐỎ _ĐI BỘ
#WALK LEFT	
60076	205	163	221	190	50
60077	222	164	238	190	50
#KOOOP ĐỎ _BAY
60078	205	219	221	219	50
60079	222	221	238	219	50
60080	239	249	255	219	50
60081	256	249	272	219	50
#MAI RÙA ĐỎ
#ÚP					
60082	239	174	255	190	50
60083	256	174	272	190	50
60084	273	174	289	190	50
60085	290	174	306	190	50
## GOOMBA_ĐỎ BAY
60086	393	79	413	103	50
60087	414	79	434	103	50
60088	435	84	455	103	50
60089	456	84	476	103	50
#GOOMBA ĐỎ CHẾT 
60090	204	115	220	124	50
#GOOMBA ĐỎ ĐI BỘ					
60091	170	108	186	124	50
60092	187	108	203	124	50
#END SECTION


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== MARIO =========
#idle BIG right
400	5009	100
#idle BIG left
401	5007	100
#idle small right
402	1009	100
#idle small left
403	1007	100
#walk right big
500	5009	100	5010	100	5011	100
#walk left big
501	5007	100	5006	100	5005	100
#walk right small
502	1010	100	1011	100	1012	100
#walk left small
503	1006	100	1005	100	1004	100
#fly right big
504	6009	100	6010	100	6011	100	6012	100	6013	100	6014	100
#fly left big
505	6007	100	6006	100	6005	100	6004	100	6003	100	6002	100
#jump right big
506	8014	100
#jump left big
507	8002	100
#brake right big
508	5015	100
#brake right big
509	5001	100
#hold right big
510	7012	100	7013	100
#hold left big
511	7003	100	7002	100
#kick right big
512	8015	100
#kick right big
513	8001	100
#running right big
514	5009	50	5010	50	5011	50
#running left big
515	5007	50	5006	50	5005	50
#
#jump right small
516	3014	100
#jump left small
517	3002	100
#fly right small
518	2009	100	2010	100	2011	100	2012	100	2013	100
#fly left small
519	2007	100	2006	100	2005	100	2004	100	2003	100
#brake right small
520	1015	100
#brake right small
521	1001	100
#hold right small
522	4009	100	4010	100
#hold left small
523	4007	100	4006	100
#kick right small
524	3015	100
#kick right small
525	3001	100
#running right small
526	1009	50	1010	50	1011	50
#running left small
527	1007	50	1006	50	1005	50
#sitdown right big
528	7015	100
#sitdown left big
529	7001	100




#die
599	4008	100

# ====TAIL MARIO =========
#idle right tail
600	17009	100
#idle left tail
601	17007	100
#walk right tail
602	17009	100	17010	100	17011	100
#walk left tail
603	17007	100	17006	100	17005	100
#jump right tail
604	20014	100
#jump left tail
605	20002	100
#fly right tail
606	18009	100	18010	100	18011	100	18012	100	18013	100
#fly left tail
607	18007	100	18006	100	18005	100	18004	100	18003	100
#brake right tail
608	17015	100
#brake left tail
609	17001	100
#hold right tail
610	21014	100	21015	100
#hold left tail
611	21002	100	21001	100
#kick right tail
612	20015	100
#kick left tail
613	20001	100
#running right tail
614	17009	50	17010	50	17011	50
#running left tail
615	17007	50	17006	50	17005	50
#sitdown right tail
616	18014	100
#sitdown left tail
617	18002	100
#ĐUÔI_QUAY_TRÁI
618	17003	100	17008	100	17013	100	18008	100
#ĐUÔI_QUAY_PHẢI
619	17013	100	17008	100	17003	100	18008	100

# ====FIRE MARIO =========
#idle right fire
700	11009	100
#idle left fire
701	11007	100
#walk right fire
702	15010	100	15011	100	15012	100
#walk left fire
703	15006	100	15005	100	15004	100
#jump right fire
704	14014	100
#jump left fire
705	14002	100
#fly right fire
706	12009	100	12010	100	12011	100	12012	100	12013	100	12014	100
#fly left fire
707	12007	100	12006	100	12005	100	12004	100	12003	100	12002	100
#brake right fire
708	11015	100
#brake left fire
709	11001	100
#hold right fire
710	15014	100	15015	100
#hold left fire
711	15002	100	15001	100
#kick right fire
712	14015	100
#kick left fire
713	14001	100
#running right fire
714	15010	50	15011	50	15012	50
#running left fire
715	15006	50	15005	50	15004	50
#sitdown right fire
716	13015	100
#sitdown left fire
717	13001	100
#SECTION 1

# ==== KOOPAS XANH SHELL UP, DOWN, SPIN =========
#3004	80002	100
#3005	80003	100

#==== GACH BỂ ĐƯỢC ====
3003	80007	100

# ====MÂY =========
3001	80000	100
3002	80001	100

# ====GẠCH NHỎ LOẠI 1 =========
1500	50001	100
1501	50002	100
1502	50003	100

#==== GẠCH BỰ TRÊN ====
1503	50004	100
1504	50005	100
1505	50006	100

#==== GẠCH BỰ DƯỚI ====
1506	50007	100
1507	50008	100
1508	50009	100

#==== GẠCH BỰ LẺ ====
3000	50010	100

# ==== QUESTION BRICK =========
6002	400001	1000	400001	100	400002	100	400003	100	400004	100


#SECTION 1 END


#SECTION 2


#==== BUI CAY NHO
2008	70008	100

#==== DONG TIEN
2100	70100	100

# ====GACH NHO LOAI 1=========
1500	50001	100
1501	50002	100
1502	50003	100

#==== GACH BU TRÊN ====
1503	50004	100
1504	50005	100
1505	50006	100

#==== GACH BU DUOI====
1506	50007	100
1507	50008	100
1508	50009	100

#==== HÀNG CÂY 1 ====
2000	70000	100
2001	70001	100
2002	70002	100
2003	70003	100
2004	70004	100
2005	70005	100
2006	70006	100
2007	70007	100

#CLOUD
2010	70201	100
2011	70202	100
2012	70203	100

#GOOMBA
#GOOMBA WALK
#2013	70301	100	70302	100
#GOOMBA DIE
#2014	70303	100

#KOOPAS XANH
#KOOPAS WALK
#KOOPAS WALK RIGHT
#2015	70401	100	70402	100
#KOOPAS WALK LEFT
#2016	70403	100	70404	100
#KOOPAS DIE
#2017	70405	100

#SECTION 2 END


#SECTION 3
#===	KHỐI TRẮNG ===
1601	60001	100
1602	60002	100
1603	60003	100
1604	60004	100
1605	60005	100
1606	60006	100
1607	60007	100
1608	60008	100
1609	60009	100
#======= KHỐI ĐỎ
1611	60011	100
1612	60012	100
1613	60013	100
1614	60014	100
1615	60015	100
1616	60016	100
1617	60017	100
1618	60018	100
1619	60019	100
#===== Khối xanh DƯƠNG
1621	60021	100
1622	60022	100
1623	60023	100
1624	60024	100
1625	60025	100
1626	60026	100
1627	60027	100
1628	60028	100
1629	60029	100
#======== KHỐI XANH LÁ
1631	60031	100
1632	60032	100
1633	60033	100
1634	60034	100
1635	60035	100
1636	60036	100
1637	60037	100
1638	60038	100
1639	60039	100
#===== VỆT ĐEN
1641	60041	100
1642	60042	100
1643	60043	100
#==== VỆT ĐEN DƯỚI
1644	60044	100
1645	60045	100
#==== ỐNG CỐNG
1651	60051	100
1652	60052	100
1653	60053	100
1654	60054	100
#=== 1 VIÊN GẠCH RĂNG CƯA SIÊU BỰ
1655	60055	100
1656	60056	100
1657	60057	100
1658	60058	100
#==== 1 VIÊN GẠCH RĂNG CƯA BỰ
1659	60059	100

# ==== GOOMBA  =========
# walk
1660	600590	100	60060	100
# die
1661	60061	100

# ==== KOOPAS  XANH_ĐI BỘ=========
#walk left
1662	60062	100	60063	100
#walk right
1663	60064	100	60065	100'
#die
1664	60066	100
##KOOPAS XANH BAY_PHẢI SANG TRÁI
1665	60067	100	60068	100	60069	100	60070	100
#KOOPAS MAI RÙA _XANH
